layer,L2,MAE,cosine_sim,min_a,min_b,max_a,max_b
model.layers.0.mlp.down_proj.scales,1.3994140625,0.00405120849609375,0.994140625,0.005340576171875,0.003711700439453125,0.055419921875,0.048126220703125
model.layers.0.mlp.gate_proj.scales,2.3046875,0.00614166259765625,0.9541015625,0.0036468505859375,0.0070648193359375,0.043212890625,0.144287109375
model.layers.0.mlp.up_proj.scales,3.54296875,0.01047515869140625,0.97265625,0.0037078857421875,0.005077362060546875,0.0274658203125,0.06341552734375
model.layers.0.self_attn.k_proj.scales,0.1387939453125,0.0019683837890625,0.9921875,0.0031890869140625,0.003246307373046875,0.041748046875,0.03814697265625
model.layers.0.self_attn.o_proj.scales,0.74853515625,0.0038356781005859375,0.9423828125,0.0022430419921875,0.003726959228515625,0.08447265625,0.05584716796875
model.layers.0.self_attn.q_proj.scales,0.6591796875,0.0032329559326171875,0.97265625,0.002471923828125,0.002262115478515625,0.09814453125,0.1339111328125
model.layers.0.self_attn.v_proj.scales,0.10894775390625,0.0015773773193359375,0.98779296875,0.0031890869140625,0.0036945343017578125,0.01531982421875,0.0222320556640625
model.layers.1.mlp.down_proj.scales,2.67578125,0.006175994873046875,0.9052734375,0.0034637451171875,0.002376556396484375,0.37890625,0.1429443359375
model.layers.1.mlp.gate_proj.scales,1.91796875,0.005435943603515625,0.9716796875,0.0024261474609375,0.00202178955078125,0.052001953125,0.06475830078125
model.layers.1.mlp.up_proj.scales,2.796875,0.007694244384765625,0.9794921875,0.000972747802734375,0.0008707046508789062,0.08740234375,0.1512451171875
model.layers.1.self_attn.k_proj.scales,2.302734375,0.036163330078125,0.92822265625,0.00159454345703125,0.007358551025390625,0.0240478515625,0.2020263671875
model.layers.1.self_attn.o_proj.scales,0.4599609375,0.0027561187744140625,0.984375,0.0034637451171875,0.0048828125,0.078125,0.07281494140625
model.layers.1.self_attn.q_proj.scales,4.15625,0.026641845703125,0.91796875,0.00180816650390625,0.006671905517578125,0.0301513671875,0.29150390625
model.layers.1.self_attn.v_proj.scales,1.216796875,0.0208740234375,0.91552734375,0.00138092041015625,0.006183624267578125,0.01251220703125,0.0755615234375
model.layers.10.mlp.down_proj.scales,1.0029296875,0.0028972625732421875,0.99658203125,0.005157470703125,0.00377655029296875,0.103515625,0.1075439453125
model.layers.10.mlp.gate_proj.scales,0.84765625,0.0022220611572265625,0.98876953125,0.004058837890625,0.00429534912109375,0.1103515625,0.0994873046875
model.layers.10.mlp.up_proj.scales,1.7158203125,0.0048675537109375,0.9873046875,0.005218505859375,0.005336761474609375,0.06591796875,0.061676025390625
model.layers.10.self_attn.k_proj.scales,0.212158203125,0.0029315948486328125,0.9658203125,0.0040283203125,0.003345489501953125,0.038330078125,0.055633544921875
model.layers.10.self_attn.o_proj.scales,0.2261962890625,0.0012950897216796875,0.9951171875,0.003997802734375,0.0035648345947265625,0.1669921875,0.1505126953125
model.layers.10.self_attn.q_proj.scales,0.451904296875,0.0027370452880859375,0.9619140625,0.002410888671875,0.0034580230712890625,0.051513671875,0.0682373046875
model.layers.10.self_attn.v_proj.scales,0.2139892578125,0.0032482147216796875,0.9501953125,0.0023956298828125,0.006771087646484375,0.034423828125,0.0201873779296875
model.layers.11.mlp.down_proj.scales,1.20703125,0.0035076141357421875,0.99609375,0.005096435546875,0.0036792755126953125,0.12451171875,0.136474609375
model.layers.11.mlp.gate_proj.scales,1.666015625,0.0037860870361328125,0.982421875,0.00531005859375,0.00598907470703125,0.064453125,0.101806640625
model.layers.11.mlp.up_proj.scales,4.05859375,0.01200103759765625,0.9873046875,0.005035400390625,0.006427764892578125,0.06787109375,0.11639404296875
model.layers.11.self_attn.k_proj.scales,0.19091796875,0.00261688232421875,0.97412109375,0.003509521484375,0.0032787322998046875,0.035400390625,0.04681396484375
model.layers.11.self_attn.o_proj.scales,0.281494140625,0.0016269683837890625,0.99365234375,0.0036163330078125,0.0036869049072265625,0.099609375,0.10650634765625
model.layers.11.self_attn.q_proj.scales,0.405029296875,0.00237274169921875,0.9697265625,0.00177764892578125,0.002368927001953125,0.04150390625,0.060028076171875
model.layers.11.self_attn.v_proj.scales,0.2218017578125,0.0029850006103515625,0.9384765625,0.002410888671875,0.00634765625,0.036865234375,0.038726806640625
model.layers.12.mlp.down_proj.scales,1.052734375,0.003009796142578125,0.99658203125,0.0040283203125,0.0028972625732421875,0.1240234375,0.11993408203125
model.layers.12.mlp.gate_proj.scales,1.056640625,0.0020389556884765625,0.98583984375,0.004180908203125,0.004360198974609375,0.0947265625,0.0994873046875
model.layers.12.mlp.up_proj.scales,3.095703125,0.00896453857421875,0.98583984375,0.004425048828125,0.006412506103515625,0.0673828125,0.1697998046875
model.layers.12.self_attn.k_proj.scales,0.1959228515625,0.0027618408203125,0.98046875,0.00286865234375,0.002208709716796875,0.06884765625,0.0706787109375
model.layers.12.self_attn.o_proj.scales,0.225341796875,0.0012836456298828125,0.99609375,0.004119873046875,0.00452423095703125,0.11474609375,0.097900390625
model.layers.12.self_attn.q_proj.scales,0.350830078125,0.00188446044921875,0.974609375,0.00213623046875,0.0029697418212890625,0.0751953125,0.093994140625
model.layers.12.self_attn.v_proj.scales,0.169189453125,0.002429962158203125,0.953125,0.0024871826171875,0.004947662353515625,0.0277099609375,0.0235748291015625
